Move Number,Centipawn Loss
1,17.0
2,24.0
3,8.0
4,50.0
5,42.0
6,46.0
7,27.0
8,27.0
9,28.000000000000004
10,40.0
11,-33.0
12,-1.0
13,-25.0
14,1.0
15,8.0
16,28.999999999999996
17,12.0
18,15.0
19,-2.0
20,32.0
21,15.0
22,34.0
23,-15.0
24,45.0
25,33.0
26,36.0
27,13.0
28,138.0
29,102.0
30,112.99999999999999
31,107.0
32,480.0
33,474.0
34,509.0
35,501.99999999999994
36,562.0
37,568.0
38,741.0
39,705.0
40,765.0
41,438.0
42,780.0
43,692.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,894.0
50,810.0
51,806.0
52,767.0
53,784.0
54,840.0
55,826.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
